restaurant_id,restaurant_name,address,image_path_02
34,Tré Trộn Cóc Giang Hoàng - Nguyễn Thượng Hiền,"68 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",images/au_lac_do_brazil__thit_nuong_brazil__pasteur_98.jpg
35,LẨU NẤM OIISI - Lẩu - Thống Nhất,"16B Thống Nhất, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",images/a_ai__sui_cao__mi__vanh_ai_694.jpg
36,Quán Mì Quảng Sâm,"8 Ca Văn Thỉnh, P. 11, Quận Tân Bình, TP. HCM",images/a_at__banh_xeo_rau_rung__khong_chi_nhanh_524.jpg
37,Poodle House Coffee - Phan Đình Phùng,"245B Phan Đình Phùng, P. 15, Quận Phú Nhuận, TP. HCM",images/a_bay__bun_bo__lau_bo_67.jpg
38,The Laban - Cafe & Homestay,"23A Bùi Thị Xuân, Quận 1, TP. HCM",images/a_bay__bun_bo__lau_bo_72.jpg
39,Res Beefsteak Kiều Đàm - Trần Xuân Soạn,"793/47A Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM",images/a_tai__bun_thit_nuong__nguyen_van_thu_410.jpg
40,Lotte Hotel Saigon - Buffet Atrium Café,"2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, Quận 1, TP. HCM",images/bamboo_quan_nhau__truong_sa_516.jpg
41,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",images/bang_ky__ca_vien_ca_ri_656.jpg
42,Lẩu Dê Trương Định,"105 Trương Định, P. 6, Quận 3, TP. HCM",images/banh_a_cua_di_ut__le_thanh_ton_556.jpg
43,Bánh Trứng Gà Non Hong Kong - Trần Phú,"354 Trần Phú (Ngã 4 Nguyễn Tri Phương), P. 7, Quận 5, TP. HCM",images/banh_bao_tho_phat__truong_sa_507.jpg
44,Tokyo Deli - Izumi Sushi & Sashimi - Xô Viết Nghệ Tĩnh,"158/4 Xô Viết Nghệ Tĩnh, P. 21, Quận Bình Thạnh, TP. HCM",images/banh_beo_chen_thao_nhi_406.jpg
45,Long Kee Cha - Trà Sữa Hong Kong,"71/25B Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",images/banh_beo_hue__cho_ben_thanh_637.jpg
46,Cheese Coffee - Cộng Hòa,"43 Cộng Hòa, P. 4, Quận Tân Bình, TP. HCM",images/banh_beo_hue__cho_ben_thanh_653.jpg
47,4T Cafe - Nguyễn Hữu Cầu,"79/10 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",images/banh_beo_thanh_nga__rach_bung_binh_646.jpg
48,Phở 24 - 31 Thảo Điền,"31 Thảo Điền, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",images/banh_bo_thot_not_cococake__lo_banh_minh_khai_130.jpg
49,Joy Fruits - Smoothies & Juices,"Số 02 Ngô Quang Huy, P. Thảo Điền, Quận 2, TP. HCM",images/banh_canh_bo_vien__nguyen_van_nguyen_707.jpg
50,B & B Juice,"523 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/banh_canh_ca_loc__621_ngo_tat_to_541.jpg
51,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",images/banh_canh_cha_ca_phu_quoc_68__huynh_van_banh_571.jpg
52,Gà Rán & Burger McDonald's Tân Sơn Nhất,"Ga Quốc Nội Sân Bay Tân Sơn Nhất, Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",images/banh_canh_cua_ba_lua_342.jpg
53,Hạnh Chẹc - Bánh Đa Cua & Bún Tôm Bề Bề,"101 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/banh_canh_cua_gia_truyen__vinh_vien_100.jpg
