restaurant_id,restaurant_name,address,image_path
34,Tré Trộn Cóc Giang Hoàng - Nguyễn Thượng Hiền,"68 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",images/tre_tron_coc_giang_hoang_nguyen_thuong_hien.jpg
35,LẨU NẤM OIISI - Lẩu - Thống Nhất,"16B Thống Nhất, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",images/lau_nam_oiisi_lau_thong_nhat.jpg
36,Quán Mì Quảng Sâm,"8 Ca Văn Thỉnh, P. 11, Quận Tân Bình, TP. HCM",images/quan_mi_quang_sam.jpg
37,Poodle House Coffee - Phan Đình Phùng,"245B Phan Đình Phùng, P. 15, Quận Phú Nhuận, TP. HCM",images/poodle_house_coffee_phan_dinh_phung.jpg
38,The Laban - Cafe & Homestay,"23A Bùi Thị Xuân, Quận 1, TP. HCM",images/the_laban_cafe_homestay.jpg
39,Res Beefsteak Kiều Đàm - Trần Xuân Soạn,"793/47A Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM",images/res_beefsteak_kieu_dam_tran_xuan_soan.jpg
40,Lotte Hotel Saigon - Buffet Atrium Café,"2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1, Quận 1, TP. HCM",images/lotte_hotel_saigon_buffet_atrium_cafe.jpg
41,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",images/miss_dac_che_khong_ngot_hoang_sa.jpg
42,Lẩu Dê Trương Định,"105 Trương Định, P. 6, Quận 3, TP. HCM",images/lau_de_truong_dinh.jpg
43,Bánh Trứng Gà Non Hong Kong - Trần Phú,"354 Trần Phú (Ngã 4 Nguyễn Tri Phương), P. 7, Quận 5, TP. HCM",images/banh_trung_ga_non_hong_kong_tran_phu.jpg
44,Tokyo Deli - Izumi Sushi & Sashimi - Xô Viết Nghệ Tĩnh,"158/4 Xô Viết Nghệ Tĩnh, P. 21, Quận Bình Thạnh, TP. HCM",images/tokyo_deli_izumi_sushi_sashimi_xo_viet_nghe_tinh.jpg
45,Long Kee Cha - Trà Sữa Hong Kong,"71/25B Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",images/long_kee_cha_tra_sua_hong_kong.jpg
46,Cheese Coffee - Cộng Hòa,"43 Cộng Hòa, P. 4, Quận Tân Bình, TP. HCM",images/cheese_coffee_cong_hoa.jpg
47,4T Cafe - Nguyễn Hữu Cầu,"79/10 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",images/4t_cafe_nguyen_huu_cau.jpg
48,Phở 24 - 31 Thảo Điền,"31 Thảo Điền, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",images/pho_24_31_thao_dien.jpg
49,Joy Fruits - Smoothies & Juices,"Số 02 Ngô Quang Huy, P. Thảo Điền, Quận 2, TP. HCM",images/joy_fruits_smoothies_juices.jpg
50,B & B Juice,"523 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/b_b_juice.jpg
51,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",images/xoi_che_bui_thi_xuan_bui_thi_xuan.jpg
52,Gà Rán & Burger McDonald's Tân Sơn Nhất,"Ga Quốc Nội Sân Bay Tân Sơn Nhất, Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",images/ga_ran_burger_mcdonald_s_tan_son_nhat.jpg
53,Hạnh Chẹc - Bánh Đa Cua & Bún Tôm Bề Bề,"101 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/hanh_chec_banh_da_cua_bun_tom_be_be.jpg
54,Long Island,"173 Long Thuận, P. Long Phước, Quận 9, TP. HCM",images/long_island.jpg
55,Phúc Long 188 Trần Hưng Đạo,"188 Trần Hưng Đạo, P. 11, Quận 5, TP. HCM",images/phuc_long_188_tran_hung_dao.jpg
56,Quốc Ký - Phở & Mì Bò Viên,"24 Ký Con, Quận 1, TP. HCM",images/quoc_ky_pho_mi_bo_vien.jpg
57,Cơm Gà Hồng Phát - Tân Bình,"475 - 477 Hoàng Văn Thụ, P. 4, Quận Tân Bình, TP. HCM",images/com_ga_hong_phat_tan_binh.jpg
58,Bánh Mì Tô - Bò Kho & Xíu Mại & Lagu Gà - Đường D5,"60 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",images/banh_mi_to_bo_kho_xiu_mai_lagu_ga_duong_d5.jpg
59,Hùng Mập - Bún Mọc & Bún Bò Huế,"772 Trần Hưng Đạo, P. 7, Quận 5, TP. HCM",images/hung_map_bun_moc_bun_bo_hue.jpg
60,Phở Thìn By Sol - Hải Triều,"27 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",images/pho_thin_by_sol_hai_trieu.jpg
61,Kowloon Bingsutt - Nhà Hàng Món Hoa,"74 -76 Bùi Hữu Nghĩa, P. 7, Quận 5, TP. HCM",images/kowloon_bingsutt_nha_hang_mon_hoa.jpg
62,Sinh Tố 10,"76 Yên Thế, P. 2, Quận Tân Bình, TP. HCM",images/sinh_to_10.jpg
63,Bún Thịt Nướng Kiều Bảo - Đề Thám,"139 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",images/bun_thit_nuong_kieu_bao_de_tham.jpg
64,Quán No - Bún Đậu Mắm Tôm,"26/24/24 Đỗ Quang Đẩu, P. Phạm Ngũ Lão, Quận 1, TP. HCM",images/quan_no_bun_dau_mam_tom.jpg
65,Kebab Mặt Trời Mọc - Hương Vị Thổ Nhĩ Kỳ,"71E Ngô Tất Tố, P. 21, Quận Bình Thạnh, TP. HCM",images/kebab_mat_troi_moc_huong_vi_tho_nhi_ky.jpg
66,Texas Chicken - Hậu Giang,"176C-176D Hậu Giang, P. 6, Quận 6, TP. HCM",images/texas_chicken_hau_giang.jpg
67,Trà Sữa O&B - Trà Sữa - Minh Phụng,"91 Minh Phụng P. 9, Quận 6, TP. HCM",images/tra_sua_o_b_tra_sua_minh_phung.jpg
68,Phở Quỳnh 8 - Chu Văn An,"150 Chu Văn An, P. 26, Quận Bình Thạnh, TP. HCM",images/pho_quynh_8_chu_van_an.jpg
69,Lẩu Cá Cô Thư,"14 Chung Cư Trần Văn Kiểu, P. 14, Quận 10, TP. HCM",images/lau_ca_co_thu.jpg
70,Ốc Nhớ - Hiệp Bình,"32 Hiệp Bình, P. Hiệp Bình Phước, Tp. Thủ Đức, TP. HCM",images/oc_nho_hiep_binh.jpg
71,Cô Hai Quyên - Bánh Canh Chả Cá Phan Thiết & Hủ Tiếu Dai,"92 Đường Số 20, P. 5, Quận Gò Vấp, TP. HCM",images/co_hai_quyen_banh_canh_cha_ca_phan_thiet_hu_tieu_dai.jpg
72,Bún Đậu Homemade - Quốc Hương,"14R Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",images/bun_dau_homemade_quoc_huong.jpg
73,Mỳ Quảng Hương Quê - Mỳ Quảng - 25 Tạ Quang Bửu,"25 Tạ Quang Bửu, P. 3, Quận 8, TP. HCM",images/my_quang_huong_que_my_quang_25_ta_quang_buu.jpg
74,Phan Rang Quán - Đặc Sản Phan Rang,"2E Đường Số 10, P. Tân Quy, Quận 7, TP. HCM",images/phan_rang_quan_dac_san_phan_rang.jpg
75,Hồng Ký - Hủ Tíu Mì Hoành Thánh & Mì Vịt Tiềm,"362 Phạm Thế Hiển, P. 3, Quận 8, TP. HCM",images/hong_ky_hu_tiu_mi_hoanh_thanh_mi_vit_tiem.jpg
76,Nhà Hàng Long Phụng - Suối Tiên,"120 Xa Lộ Hà Nội, P. Tân Phú, Quận 9, TP. HCM",images/nha_hang_long_phung_suoi_tien.jpg
77,Nhà Hàng Mix Cafe - Cơm Gà Nướng & Steak,"36 Đường Số 2, P. An Phú (Ngay Góc Thân Văn Nhiếp Và Đường Số 7), Tp. Thủ Đức, TP. HCM",images/nha_hang_mix_cafe_com_ga_nuong_steak.jpg
78,Phúc Long Thắng Lợi,"Số 2 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",images/phuc_long_thang_loi.jpg
79,Bánh Mì Que - Phan Văn Trị,"80 Phan Văn Trị, P. 2, Quận 5, TP. HCM",images/banh_mi_que_phan_van_tri.jpg
80,Nhà Nấm - Nem Nướng Đà Lạt,"162 Thành Thái, P. 12, Quận 10, TP. HCM",images/nha_nam_nem_nuong_da_lat.jpg
81,"3 Đậu - Tàu Hũ Cô Vang, Khoai Mì Cốt Dừa & Bắp Luộc - Phan Văn Trị","158 Phan Văn Trị, P. 12, Quận Bình Thạnh, TP. HCM",images/3_dau_tau_hu_co_vang_khoai_mi_cot_dua_bap_luoc_phan_van_tri.jpg
82,Bánh Canh Cua 14 - Trần Bình Trọng,"221 Trần Bình Trọng, P. 3, Quận 5, TP. HCM",images/banh_canh_cua_14_tran_binh_trong.jpg
83,Gà Rán KFC - Lotte Mart Gò Vấp,"242 Nguyễn Văn Lượng, P. 10, Quận Gò Vấp, TP. HCM",images/ga_ran_kfc_lotte_mart_go_vap.jpg
84,A Mao - Mì Súp Đài Loan - Lê Hồng Phong,"80 Lê Hồng Phong, P. 2, Quận 5, TP. HCM",images/a_mao_mi_sup_dai_loan_le_hong_phong.jpg
85,Quảng Ngãi Quán 76 - Ram - Lê Thúc Hoạch,"81 Lê Thúc Hoạch, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM",images/quang_ngai_quan_76_ram_le_thuc_hoach.jpg
86,Cộng Cà Phê - Trường Sa,"336 Trường Sa, Quận Phú Nhuận, TP. HCM",images/cong_ca_phe_truong_sa.jpg
87,Vịt Quay Khai Phát - Âu Cơ,"94 Âu Cơ, P. 9, Quận Tân Bình, TP. HCM",images/vit_quay_khai_phat_au_co.jpg
88,Royaltea - Trần Hưng Đạo,"391TK44/23 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",images/royaltea_tran_hung_dao.jpg
89,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,"462 Trần Hưng Đạo, P. 2, Quận 5, TP. HCM",images/mi_tron_ten_lua_462_tran_hung_dao.jpg
90,Nhà Hàng Tropical - Hoàng Phú Gia Hotel,"19C Bùi Thị Xuân, Quận 1, TP. HCM",images/nha_hang_tropical_hoang_phu_gia_hotel.jpg
91,Basax - Chicken & Korean Food - E Mart Gò Vấp,"366 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",images/basax_chicken_korean_food_e_mart_go_vap.jpg
92,Cơm Tấm Hoàng Gia,"57 Bửu Đình, Quận 6, TP. HCM",images/com_tam_hoang_gia.jpg
93,Thương Thương - Lươn Xứ Nghệ,"121 Bàu Cát, P. 14, Quận Tân Bình, TP. HCM",images/thuong_thuong_luon_xu_nghe.jpg
94,Bánh Mì Bà Huynh - Cống Quỳnh,"185k Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/banh_mi_ba_huynh_cong_quynh.jpg
95,Mì Cay Sasin - 1131 Nguyễn Ảnh Thủ,"1131 Nguyễn Ảnh Thủ, P. Trung Mỹ Tây, Quận 12, TP. HCM",images/mi_cay_sasin_1131_nguyen_anh_thu.jpg
96,Đào Nguyên - Cafe Sân Thượng,"101 Quang Trung, Quận Gò Vấp, TP. HCM",images/dao_nguyen_cafe_san_thuong.jpg
97,Cơm Tấm Dì Kim - Lê Đức Thọ,"321 Lê Đức Thọ, P. 17, Quận Gò Vấp, TP. HCM",images/com_tam_di_kim_le_duc_tho.jpg
98,Suizan - Udon - Saigon Center,"Tầng Hầm B2 (B208) Saigon Center, 92 - 94 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Quận 1, TP. HCM",images/suizan_udon_saigon_center.jpg
99,Fresh29 - Nem Nướng Nha Trang & Trà Chanh Nha Đam,"30 Nguyễn Hậu, P. Tân Thành, Quận Tân Phú, TP. HCM",images/fresh29_nem_nuong_nha_trang_tra_chanh_nha_dam.jpg
100,Tsukimi Sushi,"24 Tô Ngọc Vân, P. Linh Tây, Tp. Thủ Đức, TP. HCM",images/tsukimi_sushi.jpg
101,Rena Cafe - An Phú,"Đường Số 10B, Quận 2, TP. HCM",images/rena_cafe_an_phu.jpg
102,Ốc Bắc,"351 Nguyễn Thượng Hiền, P. 11, Quận 10, TP. HCM",images/oc_bac.jpg
103,DONA - Bún Chả & Bò Kho - 59 Hoa Sứ,"59 Hoa Sứ, P. 7, Quận Phú Nhuận, TP. HCM",images/dona_bun_cha_bo_kho_59_hoa_su.jpg
104,Ốc Phú Quốc - Kha Vạn Cân,"393 Kha Vạn Cân, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",images/oc_phu_quoc_kha_van_can.jpg
105,Mì Kéo Kungfu Khải Ký - Điểm Tâm Hongkong,"116 - 118 Hà Tôn Quyền, Quận 11, TP. HCM",images/mi_keo_kungfu_khai_ky_diem_tam_hongkong.jpg
106,"Highlands Coffee - Trà, Cà Phê & Bánh - Kha Vạn Cân","891 Kha Vạn Cân, P. Linh Tây, Tp. Thủ Đức, TP. HCM",images/highlands_coffee_tra_ca_phe_banh_kha_van_can.jpg
107,Phúc Long RomeA,"TTTM RomeA, 117 Nguyễn Đình Chiểu, P. 6, Quận 3, TP. HCM",images/phuc_long_romea.jpg
108,Trà Sữa Feeling Tea - Đường 3 Tháng 2,"1230 - 1232 Đường 3 Tháng 2, P. 8, Quận 11, TP. HCM",images/tra_sua_feeling_tea_duong_3_thang_2.jpg
109,Quán Sóc Trăng 2 - Lẩu Cá Kèo,"2 Sư Thiện Chiếu, P. 7, Quận 3, TP. HCM",images/quan_soc_trang_2_lau_ca_keo.jpg
110,Yoko Sushi,"36/46/4 Kinh Dương Vương, P. 13, Quận 6, TP. HCM",images/yoko_sushi.jpg
111,Bún Quậy Tâm Quán - Phan Đình Phùng,"311 Phan Đình Phùng, P. 15, Quận Phú Nhuận, TP. HCM",images/bun_quay_tam_quan_phan_dinh_phung.jpg
112,Bánh Canh Cua Loan - Nguyễn Công Trứ,"392 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",images/banh_canh_cua_loan_nguyen_cong_tru.jpg
113,Súp Cua Dũng - Cư Xá Vĩnh Hội,"38 Lô O - Cư Xá Vĩnh Hội - Nguyễn Hữu Hào, P. 9, Quận 4, TP. HCM",images/sup_cua_dung_cu_xa_vinh_hoi.jpg
114,Nhà Đậu - Bún Đậu Mắm Tôm - Lê Văn Sỹ,"262/10 Lê Văn Sỹ, P.14, Quận 3, TP. HCM",images/nha_dau_bun_dau_mam_tom_le_van_sy.jpg
115,Nhà Đậu - Bún Đậu Mắm Tôm - Dương Bá Trạc,"288/5 Dương Bá Trạc, P. 2, Quận 8, TP. HCM",images/nha_dau_bun_dau_mam_tom_duong_ba_trac.jpg
116,Bánh Tráng Chấm Cô Gánh - Chung Cư A4 Phan Xích Long,"Lô D001 Chung Cư A4 Phan xích Long, P. 7, Quận Phú Nhuận, TP. HCM",images/banh_trang_cham_co_ganh_chung_cu_a4_phan_xich_long.jpg
117,Bún Riêu Cua Ốc 66 - Chợ Võ Văn Tần,"287/66 Nguyễn Đình Chiểu, Quận 3, TP. HCM",images/bun_rieu_cua_oc_66_cho_vo_van_tan.jpg
118,Toohai Bar - Rooftop Beta Building,"Lầu 8 Beta Building, 55 Nam Kỳ Khởi Nghĩa, P. Nguyễn Thái Bình, Quận 1, TP. HCM",images/toohai_bar_rooftop_beta_building.jpg
119,MyLife Coffee - Trần Hưng Đạo,"257 Trần Hưng Đạo, Quận 1, TP. HCM",images/mylife_coffee_tran_hung_dao.jpg
120,Đất Cafe - Phong Cách Nhà Vườn,"343/5 Tô Hiến Thành, P. 12, Quận 10, TP. HCM",images/dat_cafe_phong_cach_nha_vuon.jpg
121,"Na & ỔI - Chè, Sâm Bổ Lượng & Trà Sữa","26 Tân Quý, P. Tân Quý, Quận Tân Phú, TP. HCM",images/na_oi_che_sam_bo_luong_tra_sua.jpg
122,Lotteria - Hoà Bình CoopMart,"175 Hòa Bình, P. Hiệp Tân, Quận Tân Phú, TP. HCM",images/lotteria_hoa_binh_coopmart.jpg
123,Hủ Tiếu Chay - Trường Sơn,"49 Trường Sơn, P. 15, Quận 10, TP. HCM",images/hu_tieu_chay_truong_son.jpg
124,Mì Quảng 85,"Đầu Hẻm 85 Trần Quang Diệu, Quận 3, TP. HCM",images/mi_quang_85.jpg
125,Bánh Mì Que Chip - Hòa Hảo,"355 Hòa Hảo, P. 5, Quận 10, TP. HCM",images/banh_mi_que_chip_hoa_hao.jpg
126,Daiichi - Ramen & Curry - Thái Văn Lung,"8A/2B2 Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",images/daiichi_ramen_curry_thai_van_lung.jpg
127,Bún Đậu Homemade - Nguyễn Gia Trí,"213 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",images/bun_dau_homemade_nguyen_gia_tri.jpg
128,Cơm Tấm Phúc Lộc Thọ - Nơ Trang Long,"478 Nơ Trang Long, P. 13, Quận Bình Thạnh, TP. HCM",images/com_tam_phuc_loc_tho_no_trang_long.jpg
129,Bột - Healthy Food & Cơm Văn Phòng- Lê Văn Duyệt - Shop Online,"87/53A Lê Văn Duyệt, P. 3, Quận Bình Thạnh, TP. HCM",images/bot_healthy_food_com_van_phong_le_van_duyet_shop_online.jpg
130,Xinh Healthy Food - Shop Online,"35/90A Xô Viết Nghệ Tĩnh, P. 17, Quận Bình Thạnh, TP. HCM",images/xinh_healthy_food_shop_online.jpg
131,Trà Sữa Maycha - Nguyễn Văn Nghi,"41 Nguyễn Văn Nghi, P. 4, Quận Gò Vấp, TP. HCM",images/tra_sua_maycha_nguyen_van_nghi.jpg
132,Gà rán và Mì Ý - Jollibee - Đặng Văn Bi,"102 Đặng Văn Bi, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",images/ga_ran_va_mi_y_jollibee_dang_van_bi.jpg
133,Yến Hương Giang - Bún Bò Huế,"325 Võ Văn Tần, P. 5, Quận 3, TP. HCM",images/yen_huong_giang_bun_bo_hue.jpg
134,Mì Trộn Park Kim Thang - Lê Đức Thọ,"616/61/40 Đường Lê Đức Thọ, P. 15, Quận Gò Vấp, TP. HCM",images/mi_tron_park_kim_thang_le_duc_tho.jpg
135,Cà Phê Ông Bầu - 364 Cộng Hòa,"Cổng 5 Etown 3, 364 Cộng Hòa, P. 13, Quận Tân Bình, TP. HCM",images/ca_phe_ong_bau_364_cong_hoa.jpg
136,Beefsteak Củ Hành Tây - Sư Vạn Hạnh,"391/6 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/beefsteak_cu_hanh_tay_su_van_hanh.jpg
137,Rin Cafe & Trà Sữa,"97 Đường Số 8, Quận 8, TP. HCM",images/rin_cafe_tra_sua.jpg
138,Bánh Ướt Lòng Gà Bảo Thư - Đào Duy Từ,"82 Đào Duy Từ, P. 5, Quận 10, TP. HCM",images/banh_uot_long_ga_bao_thu_dao_duy_tu.jpg
139,Mì Cay Khuya,"233/18 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/mi_cay_khuya.jpg
140,Phở Bò Cầu Dừa,"251 Bến Vân Đồn, P. 5, Quận 4, TP. HCM",images/pho_bo_cau_dua.jpg
141,Gà rán và Mì Ý - Jollibee - Phan Văn Hớn,"Ground FI Co.op Mart Phan Văn Hớn, 102 Phan Văn Hớn, P. Tân Thới Nhất, Quận 12, TP. HCM",images/ga_ran_va_mi_y_jollibee_phan_van_hon.jpg
142,Cà Phê Trứng 3T - Điện Biên Phủ,"250 Điện Biên Phủ, P. Võ Thị Sáu, Quận 3, TP. HCM",images/ca_phe_trung_3t_dien_bien_phu.jpg
143,Baoz Dimsum Restaurant - Nguyễn Tri Phương,"88 Nguyễn Tri Phương, P. 7, Quận 5, TP. HCM",images/baoz_dimsum_restaurant_nguyen_tri_phuong.jpg
144,Ốc Thảo - Vĩnh Khánh,"383 Vĩnh Khánh, P. 8, Quận 4, TP. HCM",images/oc_thao_vinh_khanh.jpg
145,Bánh Mì Kim Dung,"118A Lý Thường Kiệt, P. 7, Quận 10, TP. HCM",images/banh_mi_kim_dung.jpg
146,Trà Sữa ToCoToCo - Sư Vạn Hạnh,"770B Sư Vạn Hạnh, P. 10, Quận 10, TP. HCM",images/tra_sua_tocotoco_su_van_hanh.jpg
147,BeefSteak - Mì Ý - Salad Cow Express - Sư Vạn Hạnh,"457 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/beefsteak_mi_y_salad_cow_express_su_van_hanh.jpg
