restaurant_id,avg_score,danh_gia
1,0.3233333333333333,Tốt
2,0.16,Trung bình
3,0.0033333333333333444,Trung bình
4,0.19833333333333333,Trung bình
5,0.33666666666666667,Tốt
6,-0.165,Trung bình
7,-0.38833333333333336,Kém
8,-0.09833333333333334,Trung bình
9,0.19500000000000003,Trung bình
10,0.4383333333333333,Tốt
11,0.4466666666666667,Tốt
12,0.2966666666666667,Tốt
13,0.02999999999999999,Trung bình
14,0.26666666666666666,Tốt
15,-0.02,Trung bình
16,-0.18333333333333335,Trung bình
17,-0.21999999999999997,Kém
18,0.38000000000000006,Tốt
19,-0.1733333333333333,Trung bình
20,-0.23666666666666666,Kém
21,0.32666666666666666,Tốt
22,0.49666666666666665,Tốt
23,-0.54,Kém
24,-0.08,Trung bình
25,-0.28333333333333327,Kém
26,0.03000000000000001,Trung bình
27,-0.3933333333333333,Kém
28,0.5066666666666667,Tốt
29,-0.09333333333333334,Trung bình
30,-0.5966666666666667,Kém
31,-0.5,Kém
32,1.850371707708594E-17,Trung bình
33,-0.43,Kém
34,-0.2333333333333333,Kém
35,0.38999999999999996,Tốt
36,0.05999999999999998,Trung bình
37,0.05000000000000001,Trung bình
38,-0.04333333333333334,Trung bình
39,0.25,Tốt
40,-0.010000000000000009,Trung bình
41,-0.37333333333333335,Kém
42,-0.11333333333333333,Trung bình
43,-0.20333333333333328,Kém
44,-0.033333333333333326,Trung bình
45,0.39999999999999997,Tốt
46,0.08666666666666667,Trung bình
47,0.4766666666666666,Tốt
48,0.4566666666666667,Tốt
49,-0.08,Trung bình
50,0.27999999999999997,Tốt
51,0.13999999999999999,Trung bình
52,-0.20333333333333334,Kém
53,0.35000000000000003,Tốt
54,0.39999999999999997,Tốt
55,0.09000000000000001,Trung bình
56,0.5333333333333333,Tốt
57,-0.15,Trung bình
58,-0.5933333333333334,Kém
59,0.12333333333333331,Trung bình
60,0.3333333333333333,Tốt
61,0.08666666666666667,Trung bình
62,0.04666666666666668,Trung bình
63,0.016666666666666646,Trung bình
64,-0.10666666666666669,Trung bình
65,-0.62,Tệ
66,-0.15666666666666668,Trung bình
67,-0.13999999999999999,Trung bình
68,-0.09000000000000001,Trung bình
69,-0.21,Kém
70,-0.006666666666666672,Trung bình
71,-0.11666666666666665,Trung bình
72,-0.30333333333333334,Kém
73,0.06333333333333334,Trung bình
74,-0.63,Tệ
75,0.3133333333333333,Tốt
76,0.30333333333333334,Tốt
77,0.25,Tốt
78,-0.4633333333333334,Kém
79,0.13666666666666663,Trung bình
80,-0.38999999999999996,Kém
81,0.11666666666666665,Trung bình
82,0.2733333333333334,Tốt
83,-0.5966666666666667,Kém
84,-0.2866666666666667,Kém
85,-0.07333333333333335,Trung bình
86,0.08666666666666667,Trung bình
87,-0.029999999999999995,Trung bình
88,0.06333333333333335,Trung bình
89,-0.09333333333333332,Trung bình
90,-0.11,Trung bình
91,0.010000000000000009,Trung bình
92,0.06000000000000003,Trung bình
93,0.59,Tốt
94,0.32666666666666666,Tốt
95,0.09666666666666668,Trung bình
96,0.29,Tốt
97,-0.09333333333333331,Trung bình
98,0.08333333333333336,Trung bình
99,0.12666666666666668,Trung bình
100,-0.2833333333333333,Kém
101,-0.13,Trung bình
102,-0.023333333333333373,Trung bình
103,0.51,Tốt
104,-0.7033333333333333,Tệ
105,0.26333333333333336,Tốt
106,0.15333333333333332,Trung bình
107,-0.10666666666666665,Trung bình
108,-0.003333333333333318,Trung bình
109,0.7733333333333334,Xuất sắc
110,-0.5833333333333334,Kém
111,0.45333333333333337,Tốt
112,0.17666666666666667,Trung bình
113,0.08,Trung bình
114,-0.66,Tệ
115,-0.18000000000000002,Trung bình
116,-0.63,Tệ
117,0.12999999999999998,Trung bình
118,-0.03333333333333336,Trung bình
119,0.003333333333333336,Trung bình
120,0.15333333333333335,Trung bình
121,0.09000000000000001,Trung bình
122,-0.17,Trung bình
123,0.09666666666666666,Trung bình
124,-0.020000000000000007,Trung bình
125,0.11333333333333334,Trung bình
126,-0.006666666666666672,Trung bình
127,0.19999999999999998,Trung bình
128,-0.11333333333333336,Trung bình
129,-0.4033333333333333,Kém
130,-0.4766666666666666,Kém
131,-0.04666666666666667,Trung bình
132,-0.03666666666666666,Trung bình
133,-0.24,Kém
134,-0.18666666666666665,Trung bình
135,-0.11999999999999998,Trung bình
136,0.4033333333333333,Tốt
137,0.22999999999999998,Tốt
138,0.4166666666666667,Tốt
139,0.12666666666666662,Trung bình
140,0.57,Tốt
141,-0.4766666666666666,Kém
142,0.08666666666666667,Trung bình
143,-0.6166666666666667,Tệ
144,-0.7766666666666667,Tệ
145,-0.026666666666666655,Trung bình
146,0.0,Trung bình
147,0.2366666666666667,Tốt
148,0.09333333333333334,Trung bình
149,0.02666666666666669,Trung bình
150,0.4166666666666667,Tốt
151,0.6900000000000001,Xuất sắc
152,0.3433333333333333,Tốt
153,-0.2233333333333333,Kém
154,0.03333333333333329,Trung bình
155,-0.19666666666666666,Trung bình
156,0.48,Tốt
157,0.2866666666666667,Tốt
158,0.36333333333333334,Tốt
159,-0.3933333333333333,Kém
160,-0.47,Kém
161,0.38999999999999996,Tốt
162,0.43999999999999995,Tốt
163,-0.36000000000000004,Kém
164,0.5399999999999999,Tốt
165,-0.14666666666666667,Trung bình
166,-0.6033333333333333,Tệ
167,-0.21,Kém
168,-0.2233333333333333,Kém
169,0.5333333333333333,Tốt
170,0.19333333333333336,Trung bình
171,0.15333333333333332,Trung bình
172,0.06333333333333331,Trung bình
173,0.16000000000000003,Trung bình
